name,countries,num_sites,tags,notes,status,data_policy_beltfish,data_policy_benthiclit,data_policy_benthicpit,data_policy_benthicpqt,data_policy_habitatcomplexity,data_policy_bleachingqc,created_on,updated_on
Karimunjawa NP 2016,Indonesia,43,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-08-22T12:08:12.849024Z,2022-05-30T08:42:07.716763Z
Karimunjawa NP 2019,Indonesia,43,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Private,2019-03-24T14:16:30.894268Z,2022-05-30T08:29:36.591646Z
Karimunjawa NP 2022,Indonesia,43,"WCS Indonesia, Vibrant Oceans",9th ecological monitoring,Open,Private,Private,Private,Public Summary,Private,Private,2022-03-01T09:17:11.101954Z,2022-12-08T04:59:49.424232Z
Kelapa 2015,Indonesia,5,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-05-25T14:06:03.329494Z,2021-07-06T14:48:42.512488Z
Kelapa_MPA 2020,Indonesia,9,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2020-09-26T17:34:46.958869Z,2024-02-14T10:01:26.329954Z
Keramat Bedil Temudong (Kabete) MPA_2020,Indonesia,8,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2020-10-13T11:46:56.034498Z,2024-02-14T10:02:22.076653Z
Keramat Bedil Temudong (Kabete) MPA_2023,Indonesia,9,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2023-10-15T09:55:20.809469Z,2024-02-14T10:01:57.650759Z
Latihan Gita Nada,Indonesia,3,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2019-03-09T02:54:27.913276Z,2020-06-29T09:10:09.783483Z
Liang - Ngali MPA_2021,Indonesia,16,WCS Indonesia,"Changelog : 
Ada perubahan nama site, lihat catatan dalam masing-masing site

Upcoming activities : 
> Perbaiki data ikan site Teluk Jarak, Tanjung Meriam tahun 2014 agar gabung dengan data 2018 dan 2021 ++ Ngali (W) : teluk jarak (Data bentik all done )
> Upload data survei 2018 dan 2014",Open,Private,Private,Private,Public Summary,Private,Private,2021-10-12T07:45:47.089461Z,2024-02-14T10:02:47.671558Z
Liang Ngali 2014,Indonesia,9,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-05-25T13:55:06.002786Z,2021-07-02T02:57:13.047854Z
